0,1,2,3,4,Decade
folk,singer-songwriter,country,country folk,acoustic,1970
rock,love,blues,blues rock,tom waits,1970
chanson francaise,francais,singer-songwriter,chanson française,,1970
country,dolly parton,classic country,female vocalists,,1970
blues,singer-songwriter,experimental,rock,alternative,1970
progressive rock,psychedelic rock,classic rock,rock,pink floyd,1970
progressive rock,classic rock,rock,psychedelic rock,pink floyd,1970
classic rock,70s,rock,eagles,soft rock,1970
folk,singer-songwriter,classic rock,rock,bob dylan,1970
classic rock,70s,,,,1970
70s,pop,piano,classic rock,rock,1970
soft rock,70s,mellow,romantic,oldies,1970
classic rock,progressive rock,rock,power pop,pop,1970
classic rock,rock,70s,the rolling stones,british,1970
classic rock,rock,southern rock,supernatural,,1970
country,kris kristofferson,70s,singer-songwriter,,1970
classic rock,70s,soft rock,rock,pop,1970
70s,classic rock,soft rock,singer-songwriter,rock,1970
rock,80s,new wave,classic rock,pop,1970
folk,classic rock,60s,singer-songwriter,acoustic,1970
classic rock,folk,singer-songwriter,folk rock,rock,1970
disco,pop,70s,abba,dance,1970
pop,70s,abba,swedish,disco,1970
60s,oldies,pop,rock,,1970
classic rock,southern rock,70s,rock,,1970
hard rock,classic rock,rock,rock ballad,scorpions,1970
southern rock,classic rock,blues rock,rock,blues,1970
70s,singer-songwriter,folk,classic rock,rock,1970
70s,classic rock,rock,pop,blues,1970
country,classic country,kenny rogers,70s,,1970
classic rock,70s,rock,british,,1970
classic rock,rock,70s,hard rock,,1970
southern rock,classic rock,rock,70s,blues rock,1970
70s,soft rock,singer-songwriter,rock,folk,1970
pop,80s,female vocalists,rock,classic rock,1970
christmas,,,,,1970
soul,70s,funk,happy,,1970
romantic,70s,pop,ballad,dan hill,1970
classic rock,rock,70s,hard rock,,1970
classic rock,sunset,cruise,mood elevator,swati,1970
80s,new wave,rock,female vocalists,pop,1970
oldies,mellow,rock,chicago,,1970
,,,,,1970
classic rock,rock,singer-songwriter,british,70s,1970
pop,rock,70s,,,1970
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1970
heavy metal,classic rock,hard rock,metal,rock,1970
pop,70s,disco,abba,swedish,1970
folk,singer-songwriter,70s,classic rock,folk rock,1970
70s,easy listening,pop,carpenters,oldies,1970
progressive rock,classic rock,70s,rock,yes,1970
country,classic country,70s,1975,,1970
psychedelic rock,classic rock,psychedelic,rock,folk,1970
rock,70s,rod stewart,pop,classic rock,1970
christmas,prison,holidays,male vocals,,1970
comedy,soundtrack,monty python,british,funny,1970
singer-songwriter,classic rock,van morrison,rock,love,1970
progressive rock,classic rock,psychedelic rock,rock,pink floyd,1970
pop,classic rock,elton john,piano,rock,1970
singer-songwriter,classic rock,van morrison,folk,rock,1970
rb,,,,,1970
classic rock,70s,rock,george harrison,singer-songwriter,1970
70s,pop,oldies,carpenters,female vocalists,1970
new wave,80s,classic rock,rock,pop,1970
,,,,,1970
southern rock,classic rock,70s,marshall tucker band,,1970
folk,acoustic,singer-songwriter,mellow,,1970
pop,disco,80s,michael jackson,dance,1970
folk,canadian,singer-songwriter,,,1970
classic rock,70s,rock,progressive rock,supertramp,1970
70s,bee gees,pop,soft rock,disco,1970
country,classic country,,,,1970
female vocalists,pop,80s,alternative,singer-songwriter,1970
classic rock,rock,singer-songwriter,pop,billy joel,1970
classic rock,rock,70s,paul mccartney,british,1970
folk,singer-songwriter,classic rock,70s,,1970
grateful dead,rock,beautiful,jamband,,1970
blues,blues rock,southern rock,classic rock,,1970
beach music,singer-songwriter,country,,,1970
classic rock,70s,progressive rock,rock,symphonic rock,1970
disco,70s,funk,soul,dance,1970
rock,classic rock,,,,1970
americana,country,singer-songwriter,alternative country,,1970
country,,,,,1970
classic rock,rock,blues rock,blues,eric clapton,1970
heavy metal,hard rock,classic rock,metal,rock,1970
folk,argentina,mercedes sosa,world music,,1970
classic rock,blues,rock,psychedelic rock,the doors,1970
country,70s,pop,let your love flow,classic country,1970
60s,classic rock,psychedelic,rock,folk rock,1970
italianigdchill,italian,francesco de gregori,,,1970
folk,the big lebowski,singer-songwriter,classic rock,soundtrack,1970
love,beautiful,peace,wow,,1970
irish,irish folk,folk,celtic,,1970
70s,acoustic,rock,classic rock,power pop,1970
progressive rock,classic rock,rock,psychedelic rock,70s,1970
70s,pop,singer-songwriter,ballad,,1970
70s,glam rock,classic rock,rock,david bowie,1970
70s,pop,neil diamond,easy listening,oldies,1970
singer-songwriter,classic rock,folk,folk rock,rock,1970
pop,classic rock,singer-songwriter,rock,piano,1970
soul,funk,70s,motown,pop,1970
classic rock,70s,progressive rock,rock,supertramp,1970
classic rock,rock,70s,hard rock,,1970
psychedelic rock,classic rock,70s,rock,folk rock,1970
classic rock,hard rock,rock,rainbow,,1970
folk,female vocalists,70s,singer-songwriter,,1970
classic rock,70s,rock,progressive rock,pop,1970
glam rock,classic rock,70s,rock,glam,1970
,,,,,1970
hard rock,classic rock,rock,heavy metal,australian artist,1970
blues,christmas,singer-songwriter,,,1970
70s,pop,classic rock,oldies,,1970
progressive rock,psychedelic rock,classic rock,rock,pink floyd,1970
classic rock,rock,70s,the rolling stones,british,1970
classic rock,70s,rock,breaking bad,british,1970
pop,80s,michael jackson,soul,dance,1970
classic rock,70s,oldies,rock,three dog night,1970
country,folk,70s,john denver,singer-songwriter,1970
psychedelic rock,psychedelic,60s,classic rock,rock,1970
celtic,scottish,folk rock,folk,,1970
relativity,,,,,1970
70s,oldies,pop,rock,,1970
pop,soft rock,80s,rock,chris norman,1970
folk,soundtrack,juno,acoustic,,1970
country,classic country,george jones,he stopped loving her today,,1970
folk,70s,classic rock,folk rock,,1970
country,folk,classic country,oldies,,1970
soul,motown,70s,stevie wonder,,1970
new wave,rock,singer-songwriter,70s,,1970
southern rock,classic rock,rock,70s,lynyrd skynyrd,1970
pop,classic rock,singer-songwriter,rock,piano,1970
classic rock,70s,soft rock,gerry rafferty,rock,1970
classic rock,glam rock,rock,70s,david bowie,1970
country,singer-songwriter,john denver,country folk,,1970
7soul,soul,funk,70s,motown,1970
,,,,,1970
pop,80s,british,new wave,dance,1980
pop,new wave,80s,synth pop,synthpop,1980
hard rock,classic rock,rock,heavy metal,australian artist,1980
hard rock,classic rock,rock,heavy metal,australian artist,1980
,,,,,1980
rock,hard rock,classic rock,80s,hair metal,1980
rock,80s,classic rock,hard rock,bon jovi,1980
80s,pop,female vocalists,ballad,rock,1980
rock,80s,classic rock,bruce springsteen,,1980
rock,classic rock,singer-songwriter,80s,folk,1980
rock,classic rock,singer-songwriter,80s,bruce springsteen,1980
80s,rock,classic rock,ballad,pop,1980
rock,80s,canadian,classic rock,,1980
70s,easy listening,oldies,female vocalists,pop,1980
80s,ballad,rock,sexy,pop,1980
80s,singer-songwriter,new zealand,new wave,90s,1980
80s,pop,female vocalists,cyndi lauper,,1980
classic rock,rock,80s,dire straits,love,1980
soundtrack,pop,disney,90s,piano,1980
pop,classic rock,rock,singer-songwriter,70s,1980
80s,love,eurythmics,dance,8 of 10 stars,1980
hard rock,rock,classic rock,80s,guns n roses,1980
hard rock,rock,classic rock,80s,guns n roses,1980
hard rock,rock,classic rock,80s,guns n roses,1980
rock,classic rock,punk,70s,punk rock,1980
classic rock,rock,american anthems,,,1980
80s,pop,new wave,rock,australian,1980
80s,pop,phil collins,ballad,rock,1980
80s,pop,classic rock,rock,phil collins,1980
alternative,alternative rock,rock,indie,pixies,1980
alternative rock,alternative,indie,rock,indie rock,1980
rock,80s,hair metal,poison,hard rock,1980
80s,pop,rock,soul,funk,1980
classic rock,rock,80s,queen,glam rock,1980
classic rock,rock,80s,glam rock,queen,1980
80s,pop,love songs,ballad,richard marx,1980
classic rock,hard rock,rock,80s,ballad,1980
new wave,80s,rock,pop,alternative,1980
80s,sting,rock,pop,classic rock,1980
80s,rock,classic rock,soundtrack,,1980
80s,new wave,post-punk,alternative,rock,1980
80s,rock,classic rock,pop,the police,1980
scottish,rock,pop,folk,80s,1980
80s,melancholy,indie,new wave,alternative,1980
80s,indie,british,alternative,the smiths,1980
classic rock,rock,singer-songwriter,folk,80s,1980
classic rock,rock,singer-songwriter,folk,80s,1980
80s,classic rock,rock,soft rock,pop,1980
female vocalists,folk,soul,tracy chapman,rock,1980
folk,acoustic,female vocalists,80s,singer-songwriter,1980
classic rock,traveling wilburys,rock,tom petty,,1980
