song_name,total_chords,chords_in_key_sig,chords_not_in_key_sig,num_unique_chords,most_frequent_chords,tonic,tonic_frequency
keith-whitley_when-you-say-nothing-at-all,96,96,0,3,V,D#,17
queen_too-much-love-will-kill-you,96,93,3,6,IV,G,19
keith-whitley_dont-close-your-eyes,71,71,0,5,I,G,23
stevie-nicks_edge-of-seventeen,89,89,0,3,VII,Em,21
fleetwood-mac_everywhere,107,107,0,4,V,E,19
michael-jackson_the-way-you-make-me-feel,197,109,88,5,I,D,89
rufus-chaka-khan_aint-nobody,188,188,0,4,VII,Em,55
the-smiths_this-charming-man,66,64,2,6,V,A,6
david-bowie_lets-dance,63,48,15,7,vi,C#,10
gipsy-kings_bamboleo,49,34,15,5,i,F#m,17
steve-earle_copperhead-road,30,30,0,3,I,G,14
r-e-m-_the-one-i-love,75,75,0,5,vi,G,4
duran-duran_hungry-like-the-wolf,76,40,36,5,VI,G,16
sade_smooth-operator,162,162,0,3,v,Dm,43
guns-n-roses_paradise-city,142,123,19,5,I,C,60
van-halen_jump,46,46,0,5,IV,C,15
michael-jackson_smooth-criminal,31,27,4,5,V,C,1
the-smiths_bigmouth-strikes-again,71,71,0,5,V,B,9
stevie-ray-vaughan-double-trouble_pride-and-joy,45,45,0,3,I,D#,30
freddie-mercury_love-me-like-theres-no-tomorrow,83,35,48,14,"V,v",G,9
kate-bush_running-up-that-hill,154,145,9,8,vi,D#,8
the-cure_a-forest,55,36,19,6,I,C,18
john-mellencamp_jack-and-diane,125,125,0,3,V,A,29
billy-joel_the-longest-time,133,119,14,9,I,D#,59
tears-for-fears_everybody-wants-to-rule-the-world,65,65,0,5,IV,D,4
the-waitresses_christmas-wrapping,170,131,39,9,V,D,34
daniel-johnston_true-love-will-find-you-in-the-end,13,13,0,4,I,C,5
crowded-house_better-be-home-soon,47,40,7,8,I,G,12
twisted-sister_were-not-gonna-take-it,105,67,38,10,V,A,11
katrina-and-the-waves_walking-on-sunshine,176,176,0,3,IV,A#,47
kenny-loggins_footloose,48,40,8,7,I,D#,20
bryan-adams_run-to-you,150,114,36,6,V,A,38
the-cure_pictures-of-you,79,79,0,4,IV,A,34
tears-for-fears_head-over-heels,66,29,37,6,VI,C,18
dan-fogelberg_same-old-lang-syne,93,83,10,7,vi,C,22
bob-marley_buffalo-soldier,69,69,0,5,vi,A,19
john-prine_speed-of-the-sound-of-loneliness,64,64,0,3,I,G,30
pink-floyd_on-the-turning-away,64,64,0,5,IV,G,14
zz-top_sharp-dressed-man,63,42,21,6,V,Bb,9
cat-stevens_if-you-want-to-sing-out-sing-out,129,117,12,10,V,C,29
heart_alone,119,94,25,8,I,F#,38
the-human-league_dont-you-want-me,70,66,4,8,IV,C,2
gin-blossoms_hey-jealousy,112,112,0,4,V,A,4
the-ronettes_sleigh-ride,203,77,126,19,"vi,II",Ab,13
leonard-cohen_everybody-knows,85,54,31,7,iii,A,14
scorpions_send-me-an-angel,110,31,79,10,bV,Gm,3
paul-simon_you-can-call-me-al,144,144,0,3,V,G,32
abba_lay-all-your-love-on-me,136,97,39,6,vi,F,15
journey_open-arms,62,48,14,6,V,G,16
prince_kiss,15,9,6,2,I,D,9
tina-turner_whats-love-got-to-do-with-it,103,62,41,7,I,F#,36
keith-whitley_im-over-you,16,16,0,3,IV,E,6
tom-petty_runnin-down-a-dream,45,31,14,5,IV,D,10
metallica_one,153,76,77,13,"IV,#II,VI",D,11
george-strait_you-look-so-good-in-love,25,25,0,5,V,A,6
john-lennon_beautiful-boy-darling-boy,103,102,1,6,I,D,87
tom-petty-and-the-heartbreakers_the-waiting,108,107,1,5,I,D,41
grateful-dead_althea,126,124,2,6,I,A,52
tears-for-fears_shout,33,17,16,3,II,A#,5
billy-idol_rebel-yell,93,61,32,6,I,D,30
huey-lewis-the-news_the-power-of-love,74,23,51,8,II,Eb,2
gary-valenciano_pasko-na-sinta-ko,62,49,13,8,I,G,17
mecano_hijo-de-la-luna,192,146,46,9,vi,E,22
kool-the-gang_celebration,133,131,2,6,I,C#,60
amy-grant_tennessee-christmas,102,92,10,8,V,A#,18
eagles_seven-bridges-road,34,34,0,3,V,G,9
stan-rogers_northwest-passage,127,127,0,5,IV,D,28
toto_rosanna,104,98,6,8,"V,I",Bb,28
eric-clapton_old-love,70,64,6,6,VII,Am,16
suzanne-vega_luka,92,92,0,4,V,G,7
dire-straits_walk-of-life,81,81,0,3,IV,E,15
echo-the-bunnymen_the-killing-moon,100,63,37,5,I,C,41
hall-oates_out-of-touch,160,155,5,8,V,C,4
whitney-houston_saving-all-my-love-for-you,104,72,32,10,v,E,19
tears-for-fears_mad-world,93,93,0,4,V,G,10
renaud_mistral-gagnant,38,31,7,6,"V,vi",D#,3
pink-floyd_shine-on-you-crazy-diamond,134,114,20,9,vi,Bb,10
cold-chisel_flame-trees,92,87,5,9,I,E,35
chris-de-burgh_lady-in-red,82,76,6,7,V,Bb,10
u2_running-to-stand-still,37,34,3,4,I,G,16
david-bowie_modern-love,60,43,17,7,vi,G,8
cinderella_dont-know-what-you-got-till-its-gone,129,129,0,6,V,A,18
chris-rea_the-road-to-hell,67,55,12,6,vi,C,1
the-smiths_how-soon-is-now,68,46,22,6,"I,VI",A,19
the-smiths_asleep,65,64,1,5,I,G,40
hall-oates_you-make-my-dreams,37,32,5,6,"I,IV",F,10
the-beach-boys_kokomo,64,40,24,7,V,F,12
prince_when-doves-cry,90,90,0,4,VII,Am,13
toto-cutugno_litaliano,41,20,21,8,bvii,C,1
foreigner_waiting-for-a-girl-like-you,60,38,22,8,I,G#,17
the-pretenders_back-on-the-chain-gang,95,60,35,6,I,A,40
stephen-bishop_it-might-be-you,70,60,10,10,IV,G,8
dire-straits_so-far-away,50,50,0,4,V,E,14
kenny-rogers_weve-got-tonight,52,50,2,5,I,G#,34
prince_raspberry-beret,85,82,3,5,IV,D,29
queen_save-me,133,114,19,9,V,G,35
ub40_red-red-wine,69,69,0,3,"IV,V",C#,19
stevie-nicks_leather-and-lace,121,87,34,4,I,G#,44
james-taylor_how-sweet-it-is,83,83,0,5,"I,IV",G,22
reo-speedwagon_take-it-on-the-run,40,40,0,5,V,G,11
the-judds_grandpa-tell-me-bout-the-good-old-days,39,39,0,4,I,E,18
spandau-ballet_true,93,88,5,9,IV,G,20
men-at-work_overkill,78,49,29,6,II,A,17
erasure_a-little-respect,42,37,5,7,IV,C,6
the-cure_in-between-days,38,38,0,4,I,A,17
wham_wake-me-up-before-you-go-go,82,82,0,5,I,C,34
guns-n-roses_used-to-love-her,80,80,0,3,V,D,6
bronski-beat_smalltown-boy,50,50,0,4,"V,I",D,13
ramones_merry-christmas-i-dont-want-to-fight-tonight,75,46,29,6,IV,G,19
billy-bragg_a-new-england,46,46,0,4,"IV,I",G,14
the-blues-brothers_sweet-home-chicago,14,14,0,3,I,E,7
harry-nilsson_everybodys-talking,51,50,1,5,I,E,36
modern-english_i-melt-with-you,56,56,0,5,"IV,I",C,25
boston_amanda,109,107,2,7,V,G,16
billy-joel_movin-out,160,70,90,11,VI,D#,21
hunters-collectors_throw-your-arms-around-me,62,62,0,3,I,E,26
acdc_hells-bells,126,116,10,7,V,G,15
u2_new-years-day,42,42,0,5,vi,C,11
randy-travis_deeper-than-the-holler,67,67,0,5,IV,F,21
bruce-springsteen_glory-days,65,65,0,3,IV,A,25
white-lion_when-the-children-cry,98,98,0,5,vi,G,17
berlin_take-my-breath-away,73,51,22,13,"iii,IV",G#,9
stevie-wonder_lately,76,55,21,12,ii,C#,10
juice-newton_angel-of-the-morning,103,103,0,5,IV,G#,18
whitney-houston_greatest-love-of-all,151,145,6,7,V,A,33
paul-kelly-and-the-coloured-girls_to-her-door,77,77,0,4,V,G,18
journey_separate-ways,105,102,3,6,V,G,4
van-morrison_star-of-the-county-down,122,122,0,4,V,G,21
michael-martin-murphey_maybe-this-time,88,58,30,9,"vi,#VI",G,19
the-cure_lullaby,20,20,0,3,I,A,10
phil-collins_a-groovy-kind-of-love,41,27,14,8,V,G,6
queen_who-wants-to-live-forever,41,38,3,8,"vi,I",G,8
bruce-springsteen_my-hometown,78,78,0,4,V,A,27
morrissey_suedehead,74,59,15,6,I,D,22
r-e-m-_its-the-end-of-the-world-as-we-know-it-and-i-feel-fine,85,80,5,6,I,G,33
billy-joel_its-still-rock-and-roll-to-me,89,64,25,10,iii,C,10
air-supply_all-out-of-love,100,100,0,6,IV,C,16
the-blues-brothers_everybody-needs-somebody-to-love,14,12,2,4,I,F,6
the-pretenders_brass-in-pocket,86,83,3,5,I,A,32
tiffany_i-think-were-alone-now,68,65,3,6,I,D,23
michael-sembello_maniac,17,16,1,4,i,Em,6
randy-travis_i-told-you-so,66,62,4,7,V,A,14
bon-jovi_runaway,48,39,9,7,V,C,5
ub40_kingston-town,66,64,2,7,V,G#,10
talking-heads_this-must-be-the-place-naive-melody,176,176,0,2,ii,D,55
the-cars_drive,38,30,8,6,I,B,17
metallica_for-whom-the-bell-tolls,303,90,213,9,III,C,6
queen_a-kind-of-magic,50,42,8,6,I,A,18
john-mellencamp_small-town,103,103,0,5,V,B,26
scorpions_rock-you-like-a-hurricane,100,55,45,6,VI,G,9
pogues_the-irish-rover,102,102,0,4,I,G,48
depeche-mode_personal-jesus,47,35,12,8,ii,A,8
dio_holy-diver,107,101,6,6,vi,D#,15
crosby-stills-nash_southern-cross,117,117,0,4,IV,D,32
john-hiatt_have-a-little-faith-in-me,148,138,10,7,IV,C,23
alphaville_big-in-japan,117,101,16,6,VI,Dm,11
nena_irgendwie-irgendwo-irgendwann,52,46,6,8,IV,G,10
raffi_baby-beluga,26,26,0,3,I,A,19
david-bowie_as-the-world-falls-down,37,28,9,5,I,A,15
u2_bad,174,174,0,3,I,D,89
eric-clapton_before-you-accuse-me,35,35,0,3,"IV,I",E,15
the-bangles_manic-monday,109,107,2,6,V,D,31
paul-mccartney_uncle-albert-admiral-halsey,107,77,30,11,I,C,36
george-strait_all-my-exs-live-in-texas,63,56,7,7,V,A,5
the-police_every-little-thing-she-does-is-magic,130,65,65,8,III,F,10
bette-midler_wind-beneath-my-wings,58,58,0,5,IV,A#,13
modern-talking_cheri-cheri-lady,67,67,0,5,i,Dm,20
billy-idol_dancing-with-myself,66,66,0,3,IV,E,20
tom-waits_downtown-train,103,103,0,4,IV,D#,28
simply-red_holding-back-the-years,58,31,27,2,I,G,31
pat-benatar_hit-me-with-your-best-shot,109,109,0,4,IV,E,19
rockwell_somebodys-watching-me,99,97,2,5,i,C#m,36
bob-seger-the-silver-bullet-band_fire-lake,74,74,0,6,vi,A,12
rainhard-fendrich_i-am-from-austria,75,75,0,6,V,G,20
guns-n-roses_one-in-a-million,171,96,75,7,V,C,29
phil-collins_you-cant-hurry-love,87,87,0,6,I,G,22
nacha-pop_lucha-de-gigantes,58,56,2,8,V,D,10
metallica_master-of-puppets,231,67,164,14,II,D,30
don-williams_i-believe-in-you,52,52,0,3,I,G,28
bob-dylan_jokerman,147,147,0,6,"V,I",A#,41
the-hooters_johnny-b,132,101,31,8,iii,F,35
the-proclaimers_sunshine-on-leith,46,46,0,4,IV,A#,15
kenny-rogers_lady,70,62,8,7,iii,F,3
talk-talk_its-my-life,95,71,24,10,V,C,15
dead-or-alive_you-spin-me-round-like-a-record,79,53,26,8,vi,A,15
survivor_the-search-is-over,105,81,24,9,V,D#,18
hall-oates_maneater,28,14,14,8,II,G,3
paul-simon_graceland,104,91,13,5,V,A,32
whitney-houston_one-moment-in-time,88,59,29,9,V,A,11
duran-duran_rio,127,68,59,8,VI,Em,11
tesla_love-song,71,67,4,7,V,G,16
joe-cocker_up-where-we-belong,127,45,82,15,III,Eb,12
michael-bolton_how-am-i-supposed-to-live-without-you,77,77,0,5,"iii,I",A#,19
pat-benatar_we-belong,74,74,0,4,IV,F,19
men-at-work_who-can-it-be-now,39,31,8,6,"V,vi",G,6
simply-red_if-you-dont-know-me-by-now,44,36,8,6,IV,A#,6
kinderen-voor-kinderen_niets-is-cooler-dan-kerstmis,99,59,40,14,IV,C#,12
paul-kelly-and-the-coloured-girls_dumb-things,165,150,15,6,vi,C,22
bob-seger-the-silver-bullet-band_like-a-rock,18,18,0,3,I,C#,8
guns-n-roses_welcome-to-the-jungle,60,31,29,11,I,D#,15
australian-crawl_reckless,54,43,11,6,I,G,12
bruce-springsteen_jersey-girl,51,51,0,3,I,D,25
the-cure_close-to-me,17,17,0,4,vi,B,5
the-smiths_stop-me-if-you-think-youve-heard-this-one-before,79,46,33,8,"iii,I",D#,19
acdc_shoot-to-thrill,59,31,28,5,#VI,A,13
randy-travis_pretty-paper,32,28,4,4,IV,A,11
the-rolling-stones_start-me-up,169,155,14,6,I,F,68
eric-clapton_running-on-faith,79,57,22,7,I,D,24
depeche-mode_somebody,37,37,0,5,I,G,9
billy-joel_you-may-be-right,66,61,5,6,I,A,26
pete-townshend_let-my-love-open-the-door,85,85,0,5,V,A,13
tom-waits_time,92,92,0,5,I,D,35
peter-gabriel_in-your-eyes,208,162,46,8,V,A,38
cold-chisel_when-the-war-is-over,84,84,0,6,IV,A,18
cheap-trick_the-flame,98,53,45,5,II,A,29
hall-oates_i-cant-go-for-that-no-can-do,44,23,21,5,v,F,12
hank-williams-jr-_dinosaur,60,56,4,5,I,D,20
edie-brickell-new-bohemians_what-i-am,82,54,28,4,VI,D,26
graham-kendrick_shine-jesus-shine,118,112,6,7,V,G,19
